category_dimension,category_value,stack,policy_kind,target_rate,n,positive_n,negative_n,recall,fpr,row_fpr_upper95
harm_category,execute,rule_to_compact,selective_deployable,0.25,1,0,1,,1.0,1.0
harm_category,execute,rule_to_compact,selective_deployable,0.5,1,0,1,,1.0,1.0
harm_category,fraud_assisting_illegal_activities,compact_to_qwen,cheap_only,,16,8,8,0.125,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,compact_to_qwen,full_information,,16,8,8,0.875,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,compact_to_qwen,selective_deployable,0.1,16,8,8,0.375,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,compact_to_qwen,selective_deployable,0.25,16,8,8,0.625,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,compact_to_qwen,selective_deployable,0.5,16,8,8,0.75,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,rule_compact_to_qwen,cheap_only,,16,8,8,0.25,0.125,0.47067940860113155
harm_category,fraud_assisting_illegal_activities,rule_compact_to_qwen,full_information,,16,8,8,0.875,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,rule_compact_to_qwen,selective_deployable,0.1,16,8,8,0.625,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,rule_compact_to_qwen,selective_deployable,0.25,16,8,8,0.875,0.0,0.3123439780663678
harm_category,fraud_assisting_illegal_activities,rule_compact_to_qwen,selective_deployable,0.5,16,8,8,0.875,0.0,0.3123439780663678
