policy,requested_budget,acquired_n,acquisition_rate,decision_loss,accuracy,total_risk_with_cost,fpr,recall,fnr,decision_loss_reduction_vs_never,context_a_acquisition_rate,context_b_acquisition_rate,oracle_value_captured_per_example,seed
random,0.2,2400,0.2,0.1855,0.8145,0.1895,0.183739837398374,0.8126495726495726,0.1873504273504274,0.018916666666666665,0.1992279288351796,0.20076133730552798,0.01934222584051707,0
uncertainty,0.2,2400,0.2,0.16325,0.83675,0.16725,0.1588617886178862,0.8321367521367521,0.1678632478632479,0.04116666666666666,0.20124202752601544,0.19877523998675936,0.040804008606100096,0
oracle_decision_value,0.2,2400,0.2,0.13641666666666666,0.8635833333333334,0.14041666666666666,0.13317073170731708,0.8601709401709402,0.1398290598290598,0.068,0.4028197381671702,0.0,0.06880838723515975,0
learned_value,0.2,2400,0.2,0.13725,0.86275,0.14125000000000001,0.13105691056910568,0.8562393162393163,0.14376068376068374,0.06716666666666665,0.4028197381671702,0.0,0.06701926016084442,0
random,0.25,3000,0.25,0.18066666666666667,0.8193333333333334,0.18566666666666667,0.1795121951219512,0.8181196581196581,0.18188034188034186,0.023749999999999993,0.24773413897280966,0.2522343594836147,0.024317906375863535,0
uncertainty,0.25,3000,0.25,0.15533333333333332,0.8446666666666667,0.16033333333333333,0.15089430894308944,0.84,0.16000000000000003,0.04908333333333334,0.2484055052030883,0.25157232704402516,0.04847133545767345,0
oracle_decision_value,0.25,3000,0.25,0.12741666666666668,0.8725833333333333,0.13241666666666668,0.12390243902439024,0.8688888888888889,0.13111111111111107,0.07699999999999999,0.5035246727089627,0.0,0.07853066174426053,0
learned_value,0.25,3000,0.25,0.12766666666666668,0.8723333333333333,0.13266666666666668,0.1216260162601626,0.865982905982906,0.13401709401709405,0.07674999999999998,0.5035246727089627,0.0,0.07698078629074598,0
random,0.3,3600,0.3,0.1755,0.8245,0.1815,0.1743089430894309,0.8232478632478633,0.17675213675213675,0.028916666666666674,0.2985901309164149,0.301390268123138,0.029182703990596415,0
uncertainty,0.3,3600,0.3,0.14933333333333335,0.8506666666666667,0.15533333333333335,0.1461788617886179,0.8473504273504273,0.15264957264957268,0.05508333333333332,0.2959046659953004,0.30403839788149617,0.055482360681403844,0
oracle_decision_value,0.3,3600,0.3,0.11975,0.88025,0.12575,0.11642276422764228,0.8767521367521367,0.1232478632478633,0.08466666666666667,0.6042296072507553,0.0,0.08596143380504971,0
learned_value,0.3,3600,0.3,0.12125,0.87875,0.12725,0.11707317073170732,0.8743589743589744,0.12564102564102564,0.08316666666666667,0.6042296072507553,0.0,0.08483350140289272,0
random,0.4,4800,0.4,0.16625,0.83375,0.17425000000000002,0.16552845528455284,0.8329914529914529,0.16700854700854706,0.038166666666666654,0.3994629070157771,0.40052962595167163,0.038890472492462795,0
uncertainty,0.4,4800,0.4,0.13741666666666666,0.8625833333333334,0.14541666666666667,0.13398373983739836,0.8589743589743589,0.14102564102564108,0.067,0.39543470963410543,0.40450182058920886,0.06799263269184293,0
oracle_decision_value,0.4,4800,0.4,0.11258333333333333,0.8874166666666666,0.12058333333333332,0.10975609756097561,0.8844444444444445,0.11555555555555552,0.09183333333333334,0.8056394763343404,0.0,0.09488438092443274,0
learned_value,0.4,4800,0.4,0.11358333333333333,0.8864166666666666,0.12158333333333332,0.11219512195121951,0.884957264957265,0.11504273504273499,0.09083333333333334,0.8056394763343404,0.0,0.09384261154913094,0
random,0.5,6000,0.5,0.15641666666666668,0.8435833333333334,0.16641666666666668,0.15544715447154472,0.8425641025641025,0.15743589743589748,0.04799999999999999,0.5026854649211144,0.49735187024164185,0.04877566693904434,0
uncertainty,0.5,6000,0.5,0.1275,0.8725,0.1375,0.12406504065040651,0.8688888888888889,0.13111111111111107,0.07691666666666666,0.4973145350788855,0.5026481297583582,0.07800310068188841,0
oracle_decision_value,0.5,6000,0.5,0.10958333333333334,0.8904166666666666,0.11958333333333333,0.10682926829268292,0.8875213675213676,0.11247863247863243,0.09483333333333333,1.0,0.006951340615690168,0.09753733435899824,0
learned_value,0.5,6000,0.5,0.11,0.89,0.12,0.10764227642276422,0.8875213675213676,0.11247863247863243,0.09441666666666666,0.963074857334676,0.04336312479311486,0.09727707996503172,0
