label_condition,label_column,grouping_condition,group_column,seed,stack,policy_kind,target_rate,deployable,acquisition_threshold,decision_threshold,selection_acquisition_rate,holdout_acquisition_rate,selection_n,selection_recall,selection_fpr,holdout_n,holdout_positive_n,holdout_negative_n,holdout_tp,holdout_fn,holdout_fp,holdout_tn,holdout_recall,holdout_fpr,holdout_precision,holdout_intercept_rate,holdout_row_fpr_upper95,holdout_negative_dependency_groups,holdout_failed_dependency_groups,holdout_dependency_group_event_rate,holdout_dependency_group_event_upper95,primary_risk_gate_pass
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,selective_deployable,0.25,True,0.33444284223022036,0.1655324055456269,0.25,0.29285714285714287,428,0.2911392405063291,0.045845272206303724,420,71,349,41,30,16,333,0.5774647887323944,0.045845272206303724,0.7192982456140351,0.1357142857142857,0.0688005183497085,347,16,0.04610951008645533,0.06919223556730196,False
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,offline_ranked_diagnostic,0.25,False,,0.1655324055456269,0.25,0.25,428,0.2911392405063291,0.045845272206303724,420,71,349,41,30,27,322,0.5774647887323944,0.07736389684813753,0.6029411764705882,0.1619047619047619,0.10511016803183339,347,27,0.07780979827089338,0.10570675870055461,False
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,selective_deployable,0.5,True,0.3346354750818326,0.27914111979667494,0.5,0.5452380952380952,428,0.5316455696202531,0.04011461318051576,420,71,349,51,20,11,338,0.7183098591549296,0.03151862464183381,0.8225806451612904,0.14761904761904762,0.05163164376229004,347,11,0.03170028818443804,0.05192610743152733,False
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,offline_ranked_diagnostic,0.5,False,,0.27914111979667494,0.5,0.5,428,0.5316455696202531,0.04011461318051576,420,71,349,50,21,10,339,0.704225352112676,0.02865329512893983,0.8333333333333334,0.14285714285714285,0.04811762364973175,347,10,0.02881844380403458,0.048392148986166235,True
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,cheap_only,,True,,0.28163923752772757,0.0,0.0,428,0.34177215189873417,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,full_information,,True,,0.3083743296292341,1.0,1.0,428,0.8607594936708861,0.045845272206303724,420,71,349,59,12,14,335,0.8309859154929577,0.04011461318051576,0.8082191780821918,0.1738095238095238,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,selective_deployable,0.1,True,0.2180882940630201,0.21564062400966832,0.10046728971962617,0.12142857142857143,428,0.5063291139240507,0.04871060171919771,420,71,349,26,45,28,321,0.36619718309859156,0.08022922636103152,0.48148148148148145,0.12857142857142856,0.10834438899688771,347,28,0.08069164265129683,0.10895917901725036,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,offline_ranked_diagnostic,0.1,False,,0.21564062400966832,0.10046728971962617,0.1,428,0.5063291139240507,0.04871060171919771,420,71,349,26,45,35,314,0.36619718309859156,0.10028653295128939,0.4262295081967213,0.14523809523809525,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,selective_deployable,0.25,True,0.32512549166426685,0.16278857107010844,0.25,0.2904761904761905,428,0.5569620253164557,0.025787965616045846,420,71,349,38,33,9,340,0.5352112676056338,0.025787965616045846,0.8085106382978723,0.11190476190476191,0.04456857254031658,347,9,0.025936599423631124,0.044822948705678975,True
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,offline_ranked_diagnostic,0.25,False,,0.16278857107010844,0.25,0.25,428,0.5569620253164557,0.025787965616045846,420,71,349,38,33,23,326,0.5352112676056338,0.0659025787965616,0.6229508196721312,0.14523809523809525,0.0920773606800653,347,23,0.06628242074927954,0.09260053407755514,False
